Disease,Fatality Rate
chronic glaucoma,Low
torticollis,Zero
personality disorder,Medium
chronic otitis media,Zero
arrhythmia,Medium
peripheral nerve disorder,Low
neuralgia,Zero
hyperkalemia,Medium
ankylosing spondylitis,Zero
macular degeneration,Zero
pilonidal cyst,Zero
hypoglycemia,Medium
anxiety,Zero
noninfectious gastroenteritis,Low
gastritis,Zero
drug abuse (methamphetamine),Medium
psoriasis,Zero
trichomonas infection,Zero
fracture of the shoulder,Low
knee ligament or meniscus tear,Zero
eczema,Zero
trigeminal neuralgia,Zero
postoperative infection,Medium
dry eye of unknown cause,Zero
mononucleosis,Zero
strep throat,Low
peritonitis,High
complex regional pain syndrome,Zero
injury to the leg,Low
oppositional disorder,Zero
skin cancer,Medium
panic disorder,Zero
acute sinusitis,Zero
hidradenitis suppurativa,Zero
injury to the trunk,Low
idiopathic irregular menstrual cycle,Zero
benign prostatic hyperplasia (bph),Zero
shingles (herpes zoster),Low
cholecystitis,Low
sensorineural hearing loss,Zero
urinary tract obstruction,Medium
developmental disability,Medium
esophagitis,Zero
uterine fibroids,Zero
seborrheic dermatitis,Zero
ischemic heart disease,Medium
tooth disorder,Zero
meniere disease,Zero
acute stress reaction,Zero
spondylosis,Zero
joint effusion,Zero
depression,Medium
gallstone,Low
ganglion cyst,Zero
stye,Zero
postpartum depression,Medium
herpangina,Zero
arthritis of the hip,Zero
contact dermatitis,Zero
benign paroxysmal positional vertical (bppv),Zero
obstructive sleep apnea (osa),Low
mononeuritis,Low
sinus bradycardia,Low
autism,Zero
skin pigmentation disorder,Zero
psychotic disorder,Medium
labyrinthitis,Zero
pelvic organ prolapse,Zero
crohn disease,Low
bursitis,Zero
diverticulitis,Medium
chronic obstructive pulmonary disease (copd),Medium
gum disease,Zero
liver disease,High
chronic sinusitis,Zero
dementia,High
substance-related mental disorder,Medium
cystitis,Zero
essential tremor,Zero
oral thrush (yeast infection),Zero
asthma,Low
sprain or strain,Zero
chronic back pain,Zero
gastrointestinal hemorrhage,Medium
nose disorder,Zero
idiopathic excessive menstruation,Zero
atrial flutter,Medium
sebaceous cyst,Zero
gastroduodenal ulcer,Low
prostatitis,Zero
herniated disk,Zero
chickenpox,Low
cataract,Zero
brachial neuritis,Zero
fungal infection of the skin,Zero
eating disorder,Medium
ectopic pregnancy,Low
marijuana abuse,Zero
food allergy,Low
neurosis,Zero
pain after an operation,Zero
atrophic vaginitis,Zero
polycystic ovarian syndrome (pcos),Zero
carpal tunnel syndrome,Zero
tendinitis,Zero
multiple sclerosis,Low
orthostatic hypotension,Zero
retinopathy due to high blood pressure,Low
schizophrenia,Medium
anemia,Low
chronic rheumatic fever,Low
otitis externa (swimmer's ear),Zero
missed abortion,Zero
foreign body in the throat,Low
drug reaction,Medium
white blood cell disease,High
venous insufficiency,Low
pyelonephritis,Low
hiatal hernia,Zero
acute pancreatitis,Medium
seborrheic keratosis,Zero
rosacea,Zero
diabetic retinopathy,Low
transient ischemic attack,Low
abdominal hernia,Zero
eustachian tube dysfunction (ear disorder),Zero
conjunctivitis due to bacteria,Zero
idiopathic absence of menstruation,Zero
b héros disorder,Medium
acute kidney injury,High
hemiplegia,Medium
delirium,High
heart failure,High
foreign body in the eye,Zero
overflow incontinence,Zero
